Sheet,Struc,Splice,LiveCount,SpareCount,ServingAreaCount
Sheet 600,FDH,0, , , 
Sheet 600,SV-1142A1-1,1,10D-10F,12,3
Sheet 600,SV-1142A3-1,2,7D-7F,12,38
Sheet 604,SB-1142A3-1,3,6D-6F,12,45
Sheet 605,SB-1142A3-2,4,10D-10F,12,12
Sheet 605,SB-1142A3-3,5,11D-11F,12,19
Sheet 606,SB-1142A3-7,6,11D-11F,12,30
Sheet 607,SB-1142A3-8,7,10D-10F,12,18
Sheet 610,SB-1142A3-9,8,6D-6F,12,36
Sheet 611,SB-1142A3-13,9,1,11,91D-96F
Sheet 609,SB-1142A3-14,10,10D-10F,12,16
Sheet 610,SB-1142A3-10,11,8D-8F,12,28
Sheet 610,SB-1142A3-11,12,8D-8F,12,40
Sheet 610,SB-1142A3-12,13,7D-7F,12,27
Sheet 604,SB-1142A3-4,14,6D-6F,12,20
Sheet 605,SB-1142A3-5,15,10D-10F,12,34
Sheet 606,SB-1142A3-6,16,8D-8F,12,8
Sheet 607,PED-15,17,11D-11F,12,24
Sheet 608,SB-1142A3-16,18,3,9,7D-7F
Sheet 608,SB-1142A3-17,19,5D-5F,12,5
Sheet 613,SB-1142A3-18,20,93,-81,0
Sheet 612,SB-1142A3-19,21,5D-5F,12,13
Sheet 620,PED 20,22,5D-5F,12,11
Sheet 621,SB-1142A3-38,23,11D-11F,12,39
Sheet 607,SB-1142A3-21,24,103,-91,5D-5F
Sheet 608,SB-1142A3-22,25,8D-8F,12,33
Sheet 609,SB-1142A3-23,26,8D-8F,12,4
Sheet 614,SB-1142A3-24,27,11D-11F,12,35
Sheet 615,SB-1142A3-25,28,11D-11F,12,6
Sheet 615,SB-1142A3-27,29,8D-8F,12,49
Sheet 617,PED-29,30,12D-12F,12,10
Sheet 617,PED-29,31,12D-12F,12,7
Sheet 618,PED-31,32,10D-10F,12,31
Sheet 619,PED-33,33,9D-9F,12,25
Sheet 613,PED-35,34,9D-9F,12,42
Sheet 614,SB-1142A3-36,35,91D-96F,12,2
Sheet 613,SB-1142A3-37,36,7D-7F,12,43
Sheet 618,PED-34,37,11D-11F,12,26
Sheet 618,PED-32,38,6D-6F,12,9
Sheet 614,PED-28,39,9D-9F,12,37
Sheet 616,SB-1142A3-26,40,1,11,0
Sheet 600,SB-1142A1-1,41,10D-10F,12,15
Sheet 601,SB-1142A1-2,42,9D-9F,12,44
Sheet 601,SB-1142A1-7,43,9D-9F,12,14
Sheet 601,SB-1142A1-8,44,8D-8F,12,32
Sheet 605,SB-1142A1-9,45,7D-7F,12,17
Sheet 604,SB-1142A1-10,46,12D-12F,12,22
Sheet 601,SB-1142A1-3,47,8D-8F,12,41
Sheet 603,SB-1142A1-5,48,13D-13F,12,21
Sheet 603,SB-1142A1-6,49,10D-10F,12,23
Sheet 600,SB-1142A1-4,50,8D-8F,12,29
